ID,Age,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,AmtLiq,AmtVege,AmtNonVeg,AmtPes,AmtChocolates,AmtComm, TotalSpent ,AmtLiq Pct.,AmtVege Pct.,AmtNonVeg Pct.,AmtPes Pct.,AmtChocolates Pct.,AmtComm Pct.,NumDeals,NumWebBuy,NumWalkinPur,TotalPur,NumVisits,Response,Complain,Country,Count_success
10909,75,1949,Graduation,Married,"92,344.00",0,0,15/01/2014,9,992,24,694,51,19,119," 1,899.00 ",52%,1%,37%,3%,1%,6%,0,5,5,10,1,0,0,AUS,2
6274,75,1949,Master,Married,"83,790.00",0,0,15/11/2013,81,1076,16,417,42,48,16," 1,615.00 ",67%,1%,26%,3%,3%,1%,1,8,6,14,3,0,0,SA,2
10314,75,1949,PhD,Married,"83,837.00",0,0,16/12/2012,79,847,66,119,86,89,111," 1,318.00 ",64%,5%,9%,7%,7%,8%,1,9,5,14,4,1,0,IND,2
7495,75,1949,PhD,Married,"56,223.00",0,1,20/12/2013,72,77,28,31,16,0,4, 156.00 ,49%,18%,20%,10%,0%,3%,2,2,5,7,4,0,0,SP,0
10486,75,1949,Graduation,Married,"77,142.00",0,0,29/05/2013,54,476,75,162,29,151,97, 990.00 ,48%,8%,16%,3%,15%,10%,1,4,8,12,2,0,0,SP,0
5429,75,1949,PhD,Married,"45,579.00",0,1,20/08/2013,10,145,1,33,2,1,1, 183.00 ,79%,1%,18%,1%,1%,1%,1,4,4,8,6,0,0,SP,0
5956,75,1949,PhD,Divorced,"45,072.00",1,2,16/10/2013,74,144,2,99,7,2,30, 284.00 ,51%,1%,35%,2%,1%,11%,5,6,4,10,8,0,0,AUS,0
7313,74,1950,2n Cycle,Widow,"74,859.00",0,0,03/06/2013,63,570,73,614,133,102,73," 1,565.00 ",36%,5%,39%,8%,7%,5%,1,6,11,17,3,0,0,CA,1
10664,74,1950,Master,Widow,"51,529.00",0,1,07/09/2013,14,400,4,35,6,0,22, 467.00 ,86%,1%,7%,1%,0%,5%,2,9,5,14,8,0,0,SP,0
5092,74,1950,PhD,Widow,"51,569.00",0,1,12/02/2013,39,380,0,47,6,0,34, 467.00 ,81%,0%,10%,1%,0%,7%,4,7,7,14,8,1,0,SP,1
10972,74,1950,Graduation,Widow,"72,298.00",0,0,10/03/2014,52,625,35,169,58,17,35, 939.00 ,67%,4%,18%,6%,2%,4%,1,4,6,10,1,0,0,SP,2
6250,74,1950,PhD,Widow,"54,356.00",0,1,19/11/2012,62,710,15,30,20,0,0, 775.00 ,92%,2%,4%,3%,0%,0%,3,11,8,19,8,1,0,SP,0
8537,74,1950,Graduation,Widow,"72,643.00",0,0,27/02/2013,60,526,80,553,123,94,53," 1,429.00 ",37%,6%,39%,9%,7%,4%,1,3,7,10,2,1,0,SP,1
6379,74,1950,Master,Widow,"47,570.00",1,1,29/05/2013,3,67,1,20,0,2,31, 121.00 ,55%,1%,17%,0%,2%,26%,3,2,2,4,7,1,0,US,0
7851,74,1950,Graduation,Widow,"70,165.00",0,0,22/09/2013,60,161,0,253,199,191,122, 926.00 ,17%,0%,27%,21%,21%,13%,1,3,11,14,1,0,0,SP,0
9323,74,1950,Master,Together,"49,912.00",0,1,07/09/2012,5,520,8,223,32,49,42, 874.00 ,59%,1%,26%,4%,6%,5%,4,10,7,17,8,1,0,ME,1
1146,74,1950,Master,Together,"49,912.00",0,1,07/09/2012,5,520,8,223,32,49,42, 874.00 ,59%,1%,26%,4%,6%,5%,4,10,7,17,8,1,0,AUS,1
2406,74,1950,Graduation,Together,"54,591.00",0,1,05/08/2013,63,376,4,94,12,9,24, 519.00 ,72%,1%,18%,2%,2%,5%,3,6,8,14,5,0,0,AUS,0
10240,74,1950,Graduation,Together,"69,372.00",0,0,19/02/2013,10,997,26,269,34,13,42," 1,381.00 ",72%,2%,19%,2%,1%,3%,1,10,6,16,4,1,0,CA,2
716,74,1950,PhD,Together,"67,911.00",0,1,22/05/2014,63,529,0,356,63,28,0, 976.00 ,54%,0%,36%,6%,3%,0%,3,6,11,17,3,0,0,SP,0
6544,74,1950,PhD,Together,"67,911.00",0,1,22/05/2014,63,529,0,356,63,28,0, 976.00 ,54%,0%,36%,6%,3%,0%,3,6,11,17,3,0,0,GER,0
2066,74,1950,Graduation,Together,"38,823.00",0,1,30/08/2012,56,70,0,11,2,8,23, 114.00 ,61%,0%,10%,2%,7%,20%,1,2,3,5,6,0,0,SP,0
2868,74,1950,PhD,Single,"26,518.00",1,1,08/04/2013,33,20,1,28,3,3,2, 57.00 ,35%,2%,49%,5%,5%,4%,3,2,3,5,8,1,0,US,0
4491,74,1950,Master,Married,"62,845.00",1,1,01/10/2012,3,1099,0,45,0,0,34," 1,178.00 ",93%,0%,4%,0%,0%,3%,11,3,10,13,8,0,0,SP,1
873,74,1950,Master,Married,"62,845.00",1,1,01/10/2012,3,1099,0,45,0,0,34," 1,178.00 ",93%,0%,4%,0%,0%,3%,11,3,10,13,8,1,0,SP,1
737,74,1950,PhD,Married,"80,360.00",0,0,03/03/2013,56,1493,86,454,112,43,43," 2,231.00 ",67%,4%,20%,5%,2%,2%,2,4,5,9,2,0,0,SP,3
9504,74,1950,Master,Married,"81,698.00",0,0,06/11/2013,4,179,28,520,111,123,47," 1,008.00 ",18%,3%,52%,11%,12%,5%,1,3,13,16,1,1,0,SP,0
5991,74,1950,Master,Married,"48,150.00",0,1,08/06/2013,24,173,2,39,3,2,47, 266.00 ,65%,1%,15%,1%,1%,18%,3,5,4,9,7,0,0,GER,0
1993,74,1950,PhD,Married,"58,607.00",0,1,23/12/2012,63,867,0,86,0,0,19, 972.00 ,89%,0%,9%,0%,0%,2%,3,2,9,11,8,0,0,US,1
4475,74,1950,PhD,Married,"69,098.00",0,0,16/02/2013,82,1315,22,780,145,0,178," 2,440.00 ",54%,1%,32%,6%,0%,7%,1,7,9,16,5,0,0,SP,0
6565,74,1950,Master,Married,"76,995.00",0,1,28/03/2013,91,1012,80,498,0,16,176," 1,782.00 ",57%,4%,28%,0%,1%,10%,2,11,9,20,5,0,0,US,1
7875,74,1950,Graduation,Married,"72,025.00",0,0,29/04/2014,46,967,0,617,43,50,0," 1,677.00 ",58%,0%,37%,3%,3%,0%,1,4,13,17,2,1,0,AUS,3
11181,74,1950,PhD,Married,"156,924.00",0,0,29/08/2013,85,2,1,2,1,1,1, 8.00 ,25%,13%,25%,13%,13%,13%,0,0,0,0,0,0,0,CA,0
1183,74,1950,Master,Married,"36,408.00",1,1,21/09/2013,11,9,1,4,3,2,3, 22.00 ,41%,5%,18%,14%,9%,14%,1,1,2,3,6,0,0,GER,0
3578,74,1950,Graduation,Divorced,"49,160.00",0,1,20/10/2013,29,122,21,43,25,10,15, 236.00 ,52%,9%,18%,11%,4%,6%,2,3,6,9,6,0,0,SP,0
4697,74,1950,Master,Divorced,"35,416.00",0,0,13/06/2013,62,248,3,81,4,3,51, 390.00 ,64%,1%,21%,1%,1%,13%,3,7,5,12,8,0,0,SA,0
5329,74,1950,PhD,Divorced,"35,946.00",1,1,27/09/2013,24,8,0,3,0,0,0, 11.00 ,73%,0%,27%,0%,0%,0%,1,0,3,3,5,0,0,AUS,0
6428,73,1951,PhD,Widow,"76,842.00",0,0,03/05/2014,37,605,10,345,84,54,32," 1,130.00 ",54%,1%,31%,7%,5%,3%,1,1,7,8,0,0,0,SP,0
7485,73,1951,PhD,Widow,"56,551.00",1,1,07/05/2014,48,67,4,32,17,2,16, 138.00 ,49%,3%,23%,12%,1%,12%,3,2,4,6,4,0,0,SA,0
7530,73,1951,PhD,Widow,"56,551.00",1,1,07/05/2014,48,67,4,32,17,2,16, 138.00 ,49%,3%,23%,12%,1%,12%,3,2,4,6,4,0,0,SP,0
8233,73,1951,Master,Widow,"64,866.00",0,1,26/01/2014,9,508,5,21,7,5,10, 556.00 ,91%,1%,4%,1%,1%,2%,4,7,7,14,5,0,0,CA,1
9135,73,1951,Graduation,Together,"27,203.00",1,1,06/08/2012,92,13,2,21,4,0,24, 64.00 ,20%,3%,33%,6%,0%,38%,2,1,2,3,8,0,0,SP,0
4186,73,1951,Graduation,Together,"34,026.00",1,1,05/08/2013,11,18,6,15,12,8,17, 76.00 ,24%,8%,20%,16%,11%,22%,3,2,3,5,5,0,0,CA,0
1419,73,1951,Graduation,Together,"34,026.00",1,1,05/08/2013,11,18,6,15,12,8,17, 76.00 ,24%,8%,20%,16%,11%,22%,3,2,3,5,5,0,0,SP,0
9119,73,1951,Graduation,Together,"60,905.00",0,1,05/12/2013,27,208,17,76,36,17,38, 392.00 ,53%,4%,19%,9%,4%,10%,2,3,7,10,2,0,0,US,0
4184,73,1951,PhD,Together,"52,157.00",0,1,07/06/2014,48,189,2,29,3,2,40, 265.00 ,71%,1%,11%,1%,1%,15%,2,3,5,8,4,0,0,SP,0
359,73,1951,Graduation,Together,"48,070.00",0,1,13/01/2013,33,373,14,83,6,9,19, 504.00 ,74%,3%,16%,1%,2%,4%,3,8,6,14,7,0,1,SP,0
5138,73,1951,Graduation,Together,"28,320.00",0,1,14/01/2013,68,19,1,14,3,2,4, 43.00 ,44%,2%,33%,7%,5%,9%,1,1,3,4,8,0,0,SP,0
5899,73,1951,PhD,Together,"5,648.00",1,1,13/03/2014,68,28,0,6,1,1,13, 49.00 ,57%,0%,12%,2%,2%,27%,1,1,0,1,20,0,0,US,1
4725,73,1951,PhD,Together,"50,616.00",0,1,13/04/2014,71,30,2,25,0,1,9, 67.00 ,45%,3%,37%,0%,1%,13%,1,1,4,5,2,0,0,SP,0
6245,73,1951,PhD,Together,"59,292.00",0,1,13/06/2013,71,378,14,68,19,14,14, 507.00 ,75%,3%,13%,4%,3%,3%,2,3,8,11,3,0,0,SP,0
8780,73,1951,PhD,Together,"59,292.00",0,1,13/06/2013,71,378,14,68,19,14,14, 507.00 ,75%,3%,13%,4%,3%,3%,2,3,8,11,3,0,0,SP,0
6181,73,1951,2n Cycle,Together,"52,203.00",0,0,31/07/2012,36,488,21,238,56,108,28, 939.00 ,52%,2%,25%,6%,12%,3%,1,8,11,19,6,0,0,US,0
5237,73,1951,PhD,Single,"48,767.00",1,2,01/01/2014,79,28,1,21,3,0,10, 63.00 ,44%,2%,33%,5%,0%,16%,3,2,3,5,5,0,0,AUS,0
3479,73,1951,Graduation,Single,"16,813.00",0,0,19/07/2013,49,4,8,11,12,2,13, 50.00 ,8%,16%,22%,24%,4%,26%,1,2,3,5,7,0,0,CA,1
8783,73,1951,Graduation,Married,"57,045.00",0,1,08/09/2012,40,296,13,104,11,13,17, 454.00 ,65%,3%,23%,2%,3%,4%,3,4,9,13,3,0,0,AUS,0
10061,73,1951,Graduation,Married,"59,462.00",0,1,05/01/2013,29,724,17,143,0,8,196," 1,088.00 ",67%,2%,13%,0%,1%,18%,2,9,12,21,7,0,0,US,0
10350,73,1951,PhD,Married,"54,432.00",2,1,09/05/2013,37,33,0,5,0,0,0, 38.00 ,87%,0%,13%,0%,0%,0%,1,1,3,4,4,0,0,SP,0
7196,73,1951,PhD,Married,"41,145.00",1,1,08/02/2014,20,9,0,3,0,0,1, 13.00 ,69%,0%,23%,0%,0%,8%,1,0,3,3,3,0,0,CA,0
11031,73,1951,PhD,Married,"48,699.00",1,1,21/05/2013,90,26,1,10,2,0,1, 40.00 ,65%,3%,25%,5%,0%,3%,1,1,3,4,5,0,0,AUS,0
5718,73,1951,Graduation,Married,"80,763.00",0,0,15/08/2013,17,674,168,108,192,42,231," 1,415.00 ",48%,12%,8%,14%,3%,16%,1,5,6,11,3,1,0,SA,2
10478,73,1951,PhD,Married,"55,517.00",1,1,27/09/2012,53,483,0,108,0,6,36, 633.00 ,76%,0%,17%,0%,1%,6%,5,11,6,17,9,1,0,SA,0
3503,73,1951,Graduation,Divorced,"82,460.00",0,0,02/12/2013,78,255,47,573,52,32,15, 974.00 ,26%,5%,59%,5%,3%,2%,1,5,6,11,1,0,0,SA,0
6983,73,1951,Master,Divorced,"38,054.00",1,1,01/05/2014,24,23,2,17,2,1,0, 45.00 ,51%,4%,38%,4%,2%,0%,2,2,3,5,7,0,0,IND,0
7494,73,1951,PhD,Divorced,"42,873.00",1,1,21/01/2013,11,209,0,40,3,2,15, 269.00 ,78%,0%,15%,1%,1%,6%,4,6,4,10,8,0,0,CA,0
1907,73,1951,Master,Divorced,"63,120.00",0,1,28/09/2012,53,965,69,279,54,41,69," 1,477.00 ",65%,5%,19%,4%,3%,5%,5,8,9,17,7,1,0,SP,0
123,72,1952,Graduation,Widow,"67,046.00",0,1,06/01/2013,92,544,35,133,23,151,107, 993.00 ,55%,4%,13%,2%,15%,11%,2,4,4,8,2,0,0,AUS,0
10868,72,1952,Graduation,Widow,"70,792.00",0,0,06/02/2013,82,344,45,654,104,11,114," 1,272.00 ",27%,4%,51%,8%,1%,9%,2,3,10,13,3,0,0,SP,0
6518,72,1952,PhD,Widow,"67,680.00",0,1,11/06/2013,8,546,0,48,0,6,6, 606.00 ,90%,0%,8%,0%,1%,1%,1,7,8,15,5,0,0,AUS,0
4676,72,1952,Master,Widow,"73,705.00",0,2,05/03/2014,86,612,91,520,258,107,107," 1,695.00 ",36%,5%,31%,15%,6%,6%,2,9,8,17,5,0,0,SP,0
1964,72,1952,Graduation,Together,"86,610.00",0,0,05/09/2013,66,446,107,768,33,196,53," 1,603.00 ",28%,7%,48%,2%,12%,3%,1,5,6,11,2,0,0,SP,0
891,72,1952,Master,Together,"29,298.00",1,1,07/09/2013,60,6,0,2,2,0,1, 11.00 ,55%,0%,18%,18%,0%,9%,1,1,2,3,5,0,0,SP,0
10741,72,1952,Master,Together,"47,352.00",0,1,11/04/2013,70,172,12,112,8,0,15, 319.00 ,54%,4%,35%,3%,0%,5%,4,6,5,11,7,0,0,SP,0
5491,72,1952,Master,Together,"47,352.00",0,1,11/04/2013,70,172,12,112,8,0,15, 319.00 ,54%,4%,35%,3%,0%,5%,4,6,5,11,7,0,0,AUS,0
1570,72,1952,PhD,Together,"69,702.00",0,1,19/02/2013,8,664,9,240,50,19,57," 1,039.00 ",64%,1%,23%,5%,2%,5%,2,7,10,17,4,0,0,SP,0
1409,72,1952,Graduation,Together,"40,689.00",0,1,18/03/2013,69,270,3,27,39,6,99, 444.00 ,61%,1%,6%,9%,1%,22%,7,7,5,12,8,0,0,US,0
5314,72,1952,Graduation,Together,"40,689.00",0,1,18/03/2013,69,270,3,27,39,6,99, 444.00 ,61%,1%,6%,9%,1%,22%,7,7,5,12,8,0,0,SP,0
6289,72,1952,Master,Together,"59,385.00",1,1,28/04/2013,85,135,0,10,0,4,36, 185.00 ,73%,0%,5%,0%,2%,19%,2,3,4,7,5,0,0,SP,0
